Region or Country Name,Year,% using internet
"Total, all countries or areas",2021,62.6
Northern Africa,2021,70.6
Sub-Saharan Africa,2021,34.9
Eastern Africa,2021,20.7
Middle Africa,2021,27.9
Southern Africa,2021,70.6
Western Africa,2021,48.0
Northern America,2021,91.9
Latin America & the Caribbean,2021,74.8
Caribbean,2021,67.1
Central Asia,2021,66.5
Eastern Asia,2021,75.2
South-central Asia,2021,46.0
South-eastern Asia,2021,65.2
Southern Asia,2021,45.2
Western Asia,2021,71.9
Europe,2021,87.6
Oceania,2021,79.7
Australia and New Zealand,2021,96.2
Micronesia,2021,40.4
Albania,2021,79.3
Algeria,2021,70.8
Andorra,2021,93.9
Angola,2021,32.6
Antigua and Barbuda,2021,95.7
Argentina,2021,87.2
Armenia,2021,78.6
Australia,2021,96.2
Austria,2021,92.5
Azerbaijan,2021,86.0
Bahamas,2021,94.3
Bahrain,2021,100.0
Bangladesh,2021,38.9
Barbados,2021,85.8
Belarus,2021,86.9
Belgium,2021,92.8
Belize,2021,62.0
Benin,2021,34.0
Bhutan,2021,85.6
Bolivia (Plurin. State of),2021,66.0
Bosnia and Herzegovina,2021,75.7
Botswana,2021,73.5
Brazil,2021,80.7
Brunei Darussalam,2021,98.1
Bulgaria,2021,75.3
Burkina Faso,2021,21.6
Burundi,2021,5.8
Cabo Verde,2021,69.8
Cambodia,2021,60.2
Cameroon,2021,45.6
Canada,2021,92.8
Central African Republic,2021,10.6
Chad,2021,17.9
Chile,2021,90.2
China,2021,73.1
"China, Hong Kong SAR",2021,93.1
"China, Macao SAR",2021,88.5
Colombia,2021,73.0
Comoros,2021,27.3
Costa Rica,2021,82.8
Côte d’Ivoire,2021,45.4
Croatia,2021,81.3
Cuba,2021,71.1
Cyprus,2021,90.8
Czechia,2021,82.7
Dem. Rep. of the Congo,2021,22.9
Denmark,2021,98.9
Djibouti,2021,68.9
Dominica,2021,80.9
Dominican Republic,2021,85.2
Ecuador,2021,76.2
Egypt,2021,72.1
El Salvador,2021,62.9
Equatorial Guinea,2021,53.9
Eritrea,2021,21.7
Estonia,2021,91.0
Eswatini,2021,58.9
Ethiopia,2021,16.7
Fiji,2021,87.7
Finland,2021,92.8
France,2021,86.1
Gabon,2021,71.7
Gambia,2021,33.0
Georgia,2021,76.4
Germany,2021,91.4
Ghana,2021,68.2
Greece,2021,78.5
Grenada,2021,77.8
Guatemala,2021,50.8
Guinea,2021,34.7
Guinea-Bissau,2021,35.2
Guyana,2021,84.8
Haiti,2021,38.9
Honduras,2021,48.1
Hungary,2021,88.6
Iceland,2021,99.7
India,2021,46.3
Indonesia,2021,62.1
Iran (Islamic Republic of),2021,78.6
Iraq,2021,48.9
Ireland,2021,95.2
Israel,2021,90.3
Italy,2021,74.9
Jamaica,2021,82.4
Japan,2021,82.9
Jordan,2021,82.8
Kazakhstan,2021,90.9
Kenya,2021,28.8
Kiribati,2021,53.6
Kuwait,2021,99.7
Kyrgyzstan,2021,77.9
Lao People's Dem. Rep.,2021,62.0
Latvia,2021,91.2
Lebanon,2021,86.6
Lesotho,2021,48.0
Liberia,2021,33.6
Liechtenstein,2021,95.6
Lithuania,2021,86.9
Luxembourg,2021,98.7
Madagascar,2021,19.7
Malawi,2021,24.4
Malaysia,2021,96.8
Maldives,2021,85.8
Mali,2021,34.5
Malta,2021,87.5
Mauritania,2021,58.8
Mauritius,2021,67.6
Mexico,2021,75.6
Monaco,2021,86.1
Mongolia,2021,84.3
Montenegro,2021,82.2
Morocco,2021,88.1
Mozambique,2021,17.4
Myanmar,2021,44.0
Namibia,2021,53.0
Nauru,2021,83.9
Nepal,2021,51.6
Netherlands (Kingdom of the),2021,92.1
New Zealand,2021,95.9
Nicaragua,2021,57.1
Niger,2021,22.4
Nigeria,2021,55.4
North Macedonia,2021,83.0
Norway,2021,99.0
Oman,2021,96.4
Other non-specified areas,2021,90.1
Pakistan,2021,21.0
Panama,2021,67.5
Papua New Guinea,2021,32.1
Paraguay,2021,77.0
Peru,2021,71.1
Philippines,2021,52.7
Poland,2021,85.4
Portugal,2021,82.3
Qatar,2021,100.0
Republic of Korea,2021,97.6
Republic of Moldova,2021,61.3
Romania,2021,83.6
Russian Federation,2021,88.2
Rwanda,2021,30.5
Saint Kitts and Nevis,2021,79.5
Saint Lucia,2021,78.1
Saint Vincent & Grenadines,2021,84.9
Samoa,2021,78.2
San Marino,2021,74.9
Sao Tome and Principe,2021,51.2
Saudi Arabia,2021,100.0
Senegal,2021,58.1
Serbia,2021,81.2
Seychelles,2021,81.6
Singapore,2021,91.1
Slovakia,2021,88.9
Slovenia,2021,89.0
Solomon Islands,2021,36.1
South Africa,2021,72.3
Spain,2021,93.9
Sri Lanka,2021,66.7
Suriname,2021,65.9
Sweden,2021,88.3
Switzerland,2021,95.6
Thailand,2021,85.3
Timor-Leste,2021,39.5
Togo,2021,35.0
Tonga,2021,71.6
Trinidad and Tobago,2021,79.0
Tunisia,2021,79.0
Türkiye,2021,81.4
Tuvalu,2021,71.6
Uganda,2021,10.3
Ukraine,2021,79.2
United Arab Emirates,2021,100.0
United Kingdom,2021,96.7
United Rep. of Tanzania,2021,31.6
United States of America,2021,91.8
Uruguay,2021,90.1
Uzbekistan,2021,76.6
Vanuatu,2021,66.3
Viet Nam,2021,74.2
Zambia,2021,21.2
Zimbabwe,2021,34.8
LDC§,2021,31.2
